,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,close,425,846,43,macds,6,30,2,18,0.92,1604,597,17,32,752,71,125,614,190,147,415,114,248,785,913,415,313,27,984,654,447,327,758,68,903,41,983,852,448,230,81,667,1058,28,982,22,100,189,7,10,39,12,0.89,0.04,3,3,0.96,0.99,0.93,0.97,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,True,True,7.912220701967306e-07,False,False
1,OHLC/4,86,759,37,macdh,90,188,2,35,0.08,2974,571,245,17,890,218,250,819,202,37,53,195,103,734,881,427,476,15,198,515,73,3,301,656,26,382,529,444,668,185,105,1352,601,42,247,14,47,7,14,489,2,27,0.15,0.69,28,43,0.83,0.99,0.8,0.94,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,False,True,0.14992986540851447,False,False
2,open,314,717,33,macd,8,91,3,16,0.88,2677,873,206,161,69,49,35,852,196,76,977,148,54,918,832,219,98,87,171,748,343,230,541,556,392,399,767,361,281,182,191,860,97,13,96,11,95,162,44,69,2,12,0.15,0.06,9,5,0.98,0.98,0.82,0.84,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,False,True,8.988259664061784e-05,False,False
3,open,554,1050,37,macd,157,192,7,6,0.16,1366,674,215,56,809,31,157,22,152,145,170,128,37,689,283,972,381,24,220,791,443,119,539,288,61,673,306,566,571,373,325,1202,311,42,475,26,90,85,42,541,6,10,0.87,0.06,23,12,0.94,1.0,0.8,0.89,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,0.4997362171082408,False,False
4,HLCC/4,29,754,31,macds,69,94,4,35,0.63,2984,252,5,56,231,55,244,438,46,149,159,8,214,115,892,726,388,73,164,905,425,123,588,894,61,188,765,247,970,775,142,502,62,12,665,2,94,103,13,886,36,36,0.16,0.09,17,15,0.41,0.67,0.58,0.79,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,0.0,True,True
5,open,745,1278,26,macdh,149,234,5,38,0.33,1444,260,117,219,294,205,232,692,250,61,555,184,120,603,992,311,60,5,942,404,293,103,845,897,966,91,506,491,140,753,134,543,1209,43,207,17,109,161,24,118,7,11,0.47,0.72,46,30,0.92,0.99,0.82,0.85,False,True,False,False,True,True,False,True,True,False,True,False,True,False,True,True,,0.0,False,True
6,open,745,1278,26,macdh,149,234,5,38,0.33,1444,260,117,219,294,205,232,692,250,61,555,184,120,603,992,311,60,5,972,785,337,103,845,897,966,91,506,491,140,753,134,543,1209,43,207,17,109,161,24,118,7,11,0.47,0.72,46,30,0.84,0.96,1.0,0.97,False,True,False,False,True,True,False,True,True,False,True,False,True,False,True,True,,0.0,False,True
7,low,126,1106,10,macdh,17,159,6,37,0.04,2609,556,98,36,391,64,20,163,65,82,208,83,93,791,196,851,423,165,167,708,492,100,842,765,160,902,240,136,505,780,397,687,1911,40,855,45,53,4,27,569,13,36,0.12,0.47,18,44,0.87,0.87,0.88,0.88,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,,0.0,False,True
8,open,745,1278,26,macdh,149,234,5,38,0.33,1444,260,117,36,391,64,20,163,65,82,208,83,93,791,196,344,135,126,167,467,182,100,842,765,160,902,240,136,505,780,397,687,1911,40,855,45,53,4,27,569,13,36,0.12,0.47,18,44,0.84,0.83,0.8,0.89,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,,0.0,False,True
9,low,126,1106,10,macdh,17,159,6,37,0.04,2609,556,98,219,294,205,232,692,250,61,555,184,120,603,992,311,60,5,633,479,435,103,845,897,966,91,506,491,140,753,134,543,1209,43,207,17,109,161,24,118,7,11,0.47,0.72,46,30,0.89,0.81,0.97,0.9,False,True,False,False,True,True,False,True,True,False,True,False,True,False,True,True,,0.0,False,True
