,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,high,83,163,50,macdh,286,289,4,18,0.31,2995,952,259,389,417,339,154,684,362,38,253,325,147,754,869,514,460,449,774,666,463,318,692,403,158,268,863,44,628,619,26,31,83,4,762,8,50,54,16,848,2,19,0.19,0.08,0.44,0.73,0.8,0.99,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,23.82030891299846,True,False,-0.3080339893876431,-0.4123097713261275,-0.4169878230620613
1,HL/2,279,466,32,macds,107,303,5,9,0.16,1513,800,174,186,495,319,186,605,362,382,438,62,162,296,903,601,392,333,797,717,499,284,432,926,935,56,658,866,648,783,5,21,29,12,857,9,24,68,9,584,22,3,0.06,0.07,0.84,0.89,0.93,0.89,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,7.953352245955863,True,False,-0.2010909699223837,-0.2372624071145908,-0.2347447664487918
2,open,12,37,14,macds,100,170,5,13,0.15,1735,337,155,400,791,157,119,839,87,119,251,2,287,261,819,642,457,355,701,558,423,295,275,661,665,330,217,243,723,844,28,43,95,16,480,9,51,17,15,679,15,20,0.4,0.28,0.4,0.54,0.66,0.77,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,31.334877703790944,True,False,-0.2783350893601439,-0.2134231369709039,-0.2177431005055718
3,high,147,475,39,macds,198,108,5,13,0.15,966,482,285,324,822,148,33,852,363,254,556,246,260,270,912,794,368,340,884,520,491,423,966,319,738,545,803,62,966,482,13,23,102,20,150,9,19,11,18,378,21,21,0.06,0.14,0.24,0.31,0.43,0.53,True,False,False,True,True,True,False,True,True,True,False,True,True,False,False,False,True,15.424748342405945,True,False,-0.1921278730749693,-0.2523642658843879,-0.2422619874633889
4,high,255,313,27,macdh,145,147,5,4,0.14,2600,708,359,151,27,347,166,453,382,82,897,224,261,718,767,726,472,452,626,533,399,311,650,979,199,947,170,598,260,11,10,51,32,8,105,12,46,55,3,740,13,15,0.11,0.28,0.31,0.64,0.79,0.98,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,32.613112715329635,True,False,-0.2941005381983916,-0.271352714841174,-0.2741114523714639
5,OHLC/4,30,324,29,macds,381,377,5,2,0.35,1718,482,116,236,261,278,86,816,381,33,597,177,198,340,972,941,379,369,953,696,415,357,906,603,208,832,474,978,869,214,2,45,13,19,760,2,18,59,12,237,3,16,0.11,0.21,0.39,0.77,0.75,0.96,False,True,True,True,False,True,False,True,True,True,True,False,False,True,False,True,False,5.43316399673651,True,False,-0.2324597370830922,-0.377195552053369,-0.3784373492610351
6,HLCC/4,254,299,26,macdh,278,323,5,12,0.05,1492,498,30,41,749,285,379,992,361,297,160,31,148,13,919,821,438,434,831,686,476,318,57,874,290,45,696,948,881,235,20,23,53,13,879,5,18,67,3,515,1,5,0.15,0.2,0.19,0.37,0.42,0.66,True,False,False,False,True,True,True,True,False,True,True,False,True,False,False,True,False,34.43846950839417,True,False,-0.2808335896448382,-0.3462091377777738,-0.351509639489968
7,HL/2,299,401,6,macdh,26,382,4,19,0.06,1929,671,182,340,168,320,115,319,292,340,831,111,182,770,727,655,461,420,963,697,407,255,807,338,579,755,444,662,108,89,23,24,47,2,946,4,29,71,15,225,1,2,0.35,0.07,0.07,0.89,0.37,0.38,True,False,True,False,False,True,True,False,True,True,False,True,True,True,False,False,False,22.421304750256382,True,False,-0.2011431157845007,-0.0959881365479569,-0.0985824274476438
8,OHLC/4,136,403,9,macdh,111,20,5,6,0.18,1408,438,26,305,821,387,392,779,359,350,206,399,106,508,890,826,497,368,824,677,462,409,538,892,588,138,538,388,118,456,2,34,23,10,913,17,46,75,6,137,9,2,0.33,0.03,0.43,0.6,0.89,1.01,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,60.69390200783337,True,False,-0.2676360456907783,-0.2053096687016662,-0.2112526386371187
9,OHLC/4,55,498,30,macdh,46,272,5,15,0.23,2599,465,146,393,661,118,40,932,132,201,123,260,152,727,675,628,326,256,908,740,414,339,132,645,579,912,393,234,560,86,8,20,24,10,502,3,8,22,20,718,5,4,0.09,0.36,0.2,0.3,0.66,0.78,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,True,41.19765327579626,True,False,-0.2962135372678828,-0.1783473689998014,-0.180806049940159
