,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,close,40,1119,25,macdh,81,180,5,17,0.7,2559,967,51,194,609,148,90,866,90,234,107,20,33,392,872,225,199,13,736,546,288,103,1000,313,778,510,414,150,251,293,295,669,2232,23,62,347,939,98,14,525,9,16,0.29,0.11,5.73,10.53,12.17,15.6,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,0.001783647514939,True,False
1,close,366,630,42,macd,54,137,3,30,0.44,1818,743,216,173,283,205,134,988,194,149,457,172,107,622,506,919,492,131,143,592,142,76,469,105,927,407,540,884,205,182,245,506,592,50,493,471,734,180,6,85,14,16,0.12,0.97,11.44390118771124,18.6732782257861,10.076686373222053,17.974726357172546,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,1.0,True,False
2,open,192,269,4,macdh,167,46,3,18,0.91,2038,962,136,152,163,215,188,429,21,143,571,132,221,681,756,701,189,180,199,100,57,41,687,169,455,964,883,945,81,233,55,377,1047,35,201,6,50,176,13,441,21,13,0.8,0.16,0.82,0.92,0.86,0.82,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,6.419168698250137,True,False
3,high,782,800,29,macds,84,178,5,44,0.87,1585,488,155,180,356,28,13,376,161,9,800,29,124,416,405,148,433,207,246,218,114,72,478,675,628,747,420,314,979,358,442,822,1356,31,553,38,104,123,45,411,21,31,0.94,0.48,9.78431168680788,26.38722422508255,16.46818820880436,19.47608772252121,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,0.0077705801628046,True,False
4,low,152,552,6,macd,48,96,5,5,0.57,2075,361,2,157,187,67,160,498,59,173,156,124,24,317,984,599,169,160,227,483,241,166,531,443,711,93,756,411,12,180,314,910,8,48,515,9,108,56,6,755,37,43,0.54,0.78,0.84,0.89,0.97,0.92,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,15.737419391145105,True,False
5,HLCC/4,36,1419,13,macdh,158,161,3,43,0.11,1932,714,13,9,435,123,2,753,123,44,185,51,82,594,306,477,441,23,198,554,429,230,329,809,601,289,102,568,630,18,38,44,845,26,946,31,34,158,10,859,10,5,0.69,0.22,8.73,10.34,13.17,14.46,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,0.6688722412224786,True,False
6,HL/2,619,624,36,macdh,28,8,4,19,0.6,2706,575,99,105,168,238,105,67,19,128,629,59,200,948,710,636,237,189,664,572,109,29,4,772,495,708,908,986,881,926,454,524,218,26,717,5,10,190,9,748,7,14,0.8,0.49,0.81,0.82,0.95,0.97,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,0.0005697546638223,True,False
7,HL/2,128,1294,32,macd,227,85,3,11,0.9,2700,612,30,2,546,143,31,185,141,31,456,137,75,184,704,519,385,97,378,31,215,118,209,185,352,7,356,209,935,915,376,914,2388,48,841,16,27,36,14,13,4,13,0.37,0.54,-11.75,28.92,-2.87,27.88,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,True,0.0979882848323352,True,False
8,high,130,682,45,macd,240,24,3,24,0.15,1473,872,211,170,473,163,66,150,183,55,216,121,134,286,513,454,216,159,946,500,190,161,147,888,277,642,399,742,703,182,66,217,296,19,984,38,83,166,26,108,9,32,0.89,0.96,0.81,0.85,0.86,0.85,True,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,2.5028620927462635,True,False
9,OHLC/4,11,134,33,macd,89,198,2,24,0.75,1935,303,9,192,334,161,228,866,17,122,29,83,106,582,856,729,496,270,88,79,239,43,443,123,522,347,784,176,153,843,208,1057,1334,29,31,18,64,59,43,640,17,13,0.79,0.82,3.23,10.41,12.05,18.6,True,True,True,False,False,False,True,True,True,True,False,True,True,False,True,False,True,0.5799024082971642,True,False
