,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HL/2,22,137,31,macds,18,98,5,2,0.02,1921,576,92,54,449,38,69,853,52,6,209,5,67,19,688,342,465,117,408,314,43,19,604,291,779,984,295,617,994,594,69,196,435,10,547,31,82,61,15,344,6,9,0.36,0.17,0.49,0.61,0.77,0.87,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,True,False,19.817930579353494,True,False
1,low,7,85,45,macds,98,14,4,5,0.01,2402,239,41,43,626,95,78,291,8,11,837,72,51,992,924,715,274,90,702,539,387,309,693,4,426,820,993,743,134,768,91,305,328,3,774,25,46,35,7,243,7,18,0.12,0.29,0.59,0.92,0.85,0.86,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,False,True,9.587612515501249,True,False
2,open,65,114,26,macdh,35,32,6,18,0.29,2338,854,85,23,772,5,81,317,58,99,314,10,99,269,573,509,458,146,824,138,34,22,8,749,908,115,766,564,999,665,46,170,359,3,602,35,71,140,12,644,12,6,0.26,0.09,0.63,0.71,0.8,0.86,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,31.61077127514268,True,False
3,open,6,290,8,macdh,80,92,3,17,0.27,1258,598,22,94,431,37,34,209,94,91,922,41,60,37,831,818,444,348,931,901,480,140,173,277,502,757,191,558,551,938,107,208,478,7,199,5,106,108,11,578,6,2,0.26,0.31,0.54,0.9,0.82,0.83,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,True,True,10.422651775293557,True,False
4,HLCC/4,15,272,12,macd,57,30,5,5,0.37,2552,460,26,60,891,48,45,829,76,4,274,98,81,680,933,674,222,100,580,150,20,16,652,48,779,312,858,662,577,699,79,293,572,1,178,14,65,77,2,794,17,5,0.34,0.18,0.61,0.85,0.94,0.86,True,True,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,12.427643481656636,True,False
5,HL/2,22,193,25,macds,69,16,5,17,0.05,861,928,65,39,381,37,10,975,8,81,905,78,44,788,874,530,94,62,753,724,214,160,570,572,239,298,261,327,224,520,98,295,516,19,245,35,90,118,13,181,23,11,0.4,0.3,0.29,0.58,0.48,0.79,True,False,False,True,False,False,True,True,True,False,False,True,True,False,True,True,True,16.30523970226902,True,False
6,OHLC/4,130,141,16,macdh,49,4,2,19,0.07,2841,406,7,14,960,7,40,220,32,92,545,41,79,609,871,767,289,178,887,240,178,59,976,387,659,620,150,583,968,219,13,294,512,10,486,36,52,18,5,738,9,19,0.34,0.38,0.98,0.86,0.84,1.0,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,11.885861941277835,True,False
7,HLCC/4,32,72,22,macd,5,76,6,1,0.05,2111,927,18,82,267,48,73,96,17,17,289,31,59,401,909,538,452,78,717,448,210,25,619,698,265,114,71,462,929,619,66,275,388,7,391,15,59,178,13,561,18,23,0.3,0.02,1.01,0.93,1.17,0.97,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,0.0,False,True
8,HL/2,72,136,35,macd,99,91,6,5,0.05,999,693,26,51,737,21,77,667,81,69,1000,62,45,265,800,708,396,55,731,418,288,136,534,910,948,416,670,532,433,567,28,232,365,5,483,31,98,22,9,287,8,9,0.19,0.1,1.19,0.91,0.94,0.92,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,0.0,False,True
9,high,55,100,35,macds,67,56,6,4,0.23,439,599,20,87,120,63,40,796,40,75,683,66,61,396,903,355,193,46,876,475,404,154,335,449,972,600,129,920,831,4,45,118,339,1,776,25,91,13,13,700,7,8,0.24,0.01,0.96,0.94,1.05,1.14,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,0.0,False,True
