,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
0,2.992735479,1.046438168,10.99894663,6.999915938,15.06358749,82.85581439,26,5,31,13.28,0.333333333,4.06,0.333333333,18.36,0.333333333,8.76,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.1748852,7.073006305,15.29896756,pr
1,3.027222892,2.132966475,7.686771303,7.626576865,13.41609191,25.0986149,8,2,10,7.98,0.666666667,6.43,0.666666667,17.24,1.0,15.82,1.0,-4.393044593,1.0,-8.21457557,0.333333333,-28.80452659,0.666666667,-35.42954946,0.666666667,0.0,129.2063075,11.33366977,4.602019868,pr
2,3.880506825,1.863445778,14.69770941,7.060956555,43.8852208,56.2725136,11,16,27,11.21,0.333333333,4.16,0.166666667,18.18,0.285714286,12.18,0.285714286,60.04640254,0.25,18.60718758,0.5,-2.24053451,1.0,-83.86074623,0.5,0.0,130.968232,21.20969432,6.587301975,pr
3,2.057170417,0.876563283,4.666422478,2.135326752,0.0,8.228681669,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5717042,0.0,13.63710198,pr
4,4.403521759,4.01865616,19.08322683,14.05238362,56.78307666,127.3078464,23,8,31,17.96,0.3,0.24,0.5,21.64,0.111111111,3.0,0.333333333,51.08573206,0.25,-22.71412271,0.25,31.54811814,0.2,-90.03592276,0.6,0.0,288.2248233,24.90503079,7.167361418,pr
5,3.774605984,1.322526838,6.30220145,2.645053677,0.0,7.549211968,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8730299,0.0,12.71350157,pr
6,3.584748758,2.076385709,12.92634909,6.373514671,18.20734788,36.10507862,7,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.7443269,13.09694728,7.923300232,pr
7,3.615454094,1.639516935,12.32832933,14.28341111,46.12056381,198.6877588,49,12,61,22.1,0.090909091,-7.94,1.0,22.98,0.125,4.39,0.125,100.2093704,0.2,-9.722408663,0.2,91.4974507,0.5,-81.55566558,0.25,0.0,2138.926024,19.39335738,8.612747696,pr
8,4.907309145,1.228322358,8.78631283,5.210921447,6.141611789,8.42857224,1,4,5,5.81,0.2,3.67,0.4,15.2,0.5,13.94,0.25,48.7909942,0.333333333,41.33940301,0.333333333,-6.777094119,1.0,-21.65836732,1.0,0.0,105.7174011,0.0,7.89991115,pr
9,7.090523936,0.690897553,7.090523936,0.690897553,0.0,7.090523936,1,0,1,8.74,0.4,4.23,0.2,16.21,0.8,13.0,0.2,12.66125423,0.333333333,9.275074899,0.333333333,2.540941842,1.0,-7.822241594,0.666666667,0.0,117.7263098,0.0,13.91602515,pr
