,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
0,0.498277122,0.248017944,2.029505436,0.984858745,20.20301216,41.82357034,64,48,112,0.68,0.117647059,0.6,0.426470588,0.86,0.25,0.81,0.25,-1.85867786,1.0,-2.329195484,1.0,-6.318032715,0.857142857,-7.082930536,0.857142857,4.0,154.0513954,4.630114328,24.26345385,pr
1,0.513918944,0.400058812,1.928512859,1.846333992,7.405095279,12.83403818,21,9,30,0.78,0.285714286,0.29,0.321428571,0.91,0.72972973,0.61,0.135135135,0.299653125,0.461538462,-0.821175159,0.769230769,-0.986823464,1.0,-2.871539817,0.307692308,0.0,113.5723573,8.377706703,11.09968745,pr
2,0.342120972,0.39025204,1.131330535,1.886851607,11.22417083,12.80231802,29,15,44,0.68,0.263157895,0.64,0.263157895,0.85,1.0,0.82,1.0,-0.052412655,1.0,-0.117987509,1.0,-0.959196901,0.583333333,-1.038161143,0.583333333,4.0,103.945368,10.00332414,4.05725346,pr
3,0.459210771,0.259716497,1.950098737,1.845307795,14.9070679,35.9353783,64,29,93,0.76,0.255813953,0.39,0.372093023,0.9,1.0,0.69,0.136363636,-0.506162335,0.791666667,-0.978088872,1.0,-1.218984243,1.0,-2.081745876,0.310344828,0.0,152.570776,4.424453996,13.58282265,pr
4,0.457121763,0.216110124,0.495642346,0.432220247,0.0,0.914243527,2,0,2,0.45,0.166666667,0.4,0.0,0.87,0.5,0.84,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2856088,0.0,20.1765258,pr
5,0.47341691,0.2026121,2.016532629,1.78010033,10.787904,43.04868807,84,14,98,0.47,0.306666667,0.42,0.306666667,0.87,1.0,0.84,1.0,-1.104075819,1.0,-1.211963934,0.548387097,-2.254895325,1.0,-2.511701082,0.338028169,4.0,180.6519602,9.962089386,18.0132511,pr
6,0.535862987,0.156417757,1.052554196,0.523743548,13.31783582,41.60129431,57,48,105,0.39,0.3375,0.3,0.3375,0.82,1.0,0.76,1.0,-1.040920654,1.0,-1.247939328,0.413333333,-1.990882628,1.0,-2.449538057,0.277108434,4.0,170.7086462,3.011043789,33.51170621,pr
7,0.561936973,0.201201225,2.016532629,1.9288725,29.23332553,91.2549342,139,63,202,,,,,,,,,,,,,,,,,,307.1684235,9.419231032,20.06016448,
8,0.520127031,0.180496243,1.230692808,1.975463326,20.59110006,80.61658955,135,50,185,0.58,0.956521739,0.53,1.0,0.93,1.0,0.9,1.0,-2.321161745,1.0,-2.47865432,1.0,-4.678270054,1.0,-4.99450597,1.0,5.0,296.7227683,8.375867971,16.75876069,pr
9,0.422524118,0.281638279,1.313301626,2.100169974,75.18167357,100.5820014,170,164,334,0.81,0.205298013,0.5,0.278145695,0.88,0.167701863,0.67,0.211180124,-0.035977532,0.973684211,-0.495213354,1.0,-0.721509404,0.853333333,-1.316228174,0.666666667,0.0,163.5008196,25.52374332,9.887462524,pr
