,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,high,298.0,1299.0,26.0,macds,179.0,49.0,4.0,22.0,0.66,1888.0,974.0,213.0,78.0,759.0,121.0,95.0,644.0,135.0,60.0,485.0,195.0,176.0,442.0,735.0,730.0,327.0,86.0,727.0,368.0,442.0,311.0,819.0,684.0,703.0,27.0,521.0,121.0,942.0,673.0,447.0,794.0,544.0,40.0,204.0,58.0,109.0,79.0,46.0,327.0,21.0,21.0,0.42,0.59,4.1181864298895,6.624873664028587,17.822042079097773,17.99069242975339,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,39.54384791264249,1.0,0.0
1,low,787.0,1267.0,42.0,macds,187.0,193.0,4.0,14.0,0.89,1706.0,789.0,9.0,101.0,414.0,185.0,77.0,790.0,105.0,161.0,883.0,211.0,226.0,22.0,557.0,412.0,237.0,206.0,143.0,424.0,187.0,116.0,119.0,148.0,195.0,914.0,746.0,27.0,155.0,118.0,429.0,724.0,1179.0,41.0,366.0,22.0,73.0,153.0,46.0,636.0,28.0,26.0,0.2,0.82,3.852100091991217,4.516196187591709,10.637978565224774,17.28286083320793,True,True,False,True,False,False,False,True,False,False,True,True,False,True,False,True,True,38.24732538238145,True,False
2,high,110.0,779.0,39.0,macd,229.0,7.0,3.0,29.0,0.41,2605.0,372.0,58.0,48.0,758.0,220.0,36.0,949.0,124.0,100.0,754.0,12.0,108.0,805.0,683.0,215.0,151.0,84.0,646.0,588.0,131.0,122.0,716.0,580.0,224.0,536.0,821.0,528.0,182.0,994.0,297.0,960.0,1425.0,48.0,503.0,37.0,91.0,28.0,38.0,189.0,2.0,4.0,0.83,0.85,0.82,0.87,0.86,0.86,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,True,78.45389855742307,True,False
3,high,216.0,696.0,35.0,macdh,171.0,41.0,6.0,31.0,0.14,1970.0,995.0,151.0,32.0,677.0,112.0,207.0,898.0,221.0,248.0,560.0,19.0,227.0,559.0,603.0,360.0,344.0,160.0,113.0,161.0,144.0,21.0,906.0,577.0,198.0,83.0,992.0,457.0,59.0,804.0,314.0,529.0,1621.0,39.0,516.0,2.0,35.0,87.0,40.0,465.0,8.0,25.0,0.41,0.99,8.970690936943836,17.94138187388767,11.854908001104748,16.59160266300472,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,46.41588833612778,True,False
4,high,749.0,972.0,40.0,macdh,245.0,18.0,5.0,36.0,0.13,2014.0,259.0,245.0,82.0,367.0,180.0,14.0,124.0,182.0,81.0,560.0,142.0,233.0,676.0,978.0,665.0,102.0,29.0,610.0,487.0,230.0,205.0,924.0,438.0,817.0,769.0,303.0,361.0,175.0,414.0,52.0,1011.0,532.0,38.0,775.0,5.0,35.0,17.0,38.0,609.0,48.0,30.0,0.42,0.1,8.696771464270455,16.496664781993413,9.134622495591747,15.12472429613358,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,True,True,46.81548486114794,True,False
5,HL/2,69.0,1181.0,15.0,macds,196.0,63.0,2.0,26.0,0.24,2355.0,335.0,202.0,210.0,797.0,225.0,120.0,616.0,52.0,95.0,401.0,176.0,129.0,235.0,880.0,627.0,467.0,355.0,705.0,643.0,80.0,40.0,231.0,730.0,808.0,976.0,971.0,115.0,892.0,453.0,149.0,730.0,114.0,49.0,53.0,408.0,1177.0,58.0,33.0,474.0,4.0,4.0,0.16,0.31,8.920042823327963,15.5853809308905,11.650909087946054,16.36251564023918,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,False,38.7980431026743,True,False
6,HL/2,702.0,1055.0,50.0,macd,174.0,212.0,3.0,27.0,0.69,1913.0,723.0,223.0,159.0,814.0,63.0,173.0,289.0,78.0,116.0,41.0,104.0,90.0,435.0,892.0,853.0,488.0,373.0,964.0,943.0,190.0,10.0,217.0,585.0,238.0,119.0,885.0,995.0,377.0,409.0,217.0,1306.0,323.0,48.0,865.0,48.0,99.0,71.0,40.0,148.0,34.0,20.0,0.64,0.75,11.822123131973068,16.443183368102375,10.477107582129763,17.19537274929109,True,True,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,49.35964016578483,True,False
7,OHLC/4,169.0,1057.0,21.0,macdh,132.0,135.0,3.0,15.0,0.34,2780.0,706.0,21.0,140.0,917.0,11.0,61.0,482.0,36.0,111.0,5.0,17.0,123.0,463.0,543.0,635.0,216.0,29.0,210.0,206.0,198.0,181.0,144.0,257.0,499.0,468.0,235.0,809.0,295.0,666.0,293.0,347.0,109.0,21.0,363.0,33.0,102.0,2.0,48.0,261.0,27.0,2.0,0.65,0.48,5.11,13.7,7.9,15.34,True,True,True,True,False,False,True,False,False,True,False,True,False,False,True,False,True,16.546225562134225,True,False
8,open,452.0,681.0,41.0,macdh,159.0,234.0,2.0,12.0,0.38,2487.0,536.0,62.0,34.0,148.0,98.0,30.0,608.0,22.0,57.0,460.0,63.0,247.0,49.0,847.0,502.0,233.0,10.0,669.0,395.0,235.0,157.0,482.0,922.0,587.0,956.0,604.0,628.0,156.0,486.0,132.0,818.0,857.0,21.0,170.0,13.0,97.0,152.0,34.0,563.0,15.0,19.0,0.75,0.17,16.261389491406025,16.750709756465522,4.036442428266953,8.224978304490334,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,4.510465529984968,True,False
9,low,132.0,262.0,5.0,macds,4.0,221.0,3.0,38.0,0.82,1249.0,721.0,214.0,33.0,117.0,13.0,45.0,343.0,150.0,151.0,901.0,137.0,2.0,447.0,355.0,137.0,120.0,90.0,786.0,457.0,231.0,117.0,705.0,491.0,679.0,156.0,65.0,370.0,158.0,829.0,2.0,826.0,968.0,44.0,119.0,28.0,94.0,144.0,40.0,423.0,21.0,31.0,0.69,0.86,0.85,0.93,0.95,0.94,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,17.679347666556712,True,False
