,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
0,0.202777435,0.121399844,0.909708985,1.007892631,44.68487075,97.98874412,439,131,570,0.84,0.321568627,0.51,0.325490196,0.99,1.0,0.7,0.186528497,-0.629811835,1.0,-1.312535451,0.863095238,0.175086677,0.739393939,-0.294657217,1.0,5.0,260.169386,4.447598706,19.13749661,pr
1,0.403491317,0.276789818,1.047708881,1.25641926,68.52151043,119.2828708,263,94,357,0.79,0.882352941,0.37,1.0,0.92,1.0,0.64,1.0,-1.200154983,1.0,-2.63029424,1.0,0.209863035,0.695652174,-0.771741255,1.0,5.0,246.2550145,12.59993674,16.74483276,pr
2,0.27433126,0.174473396,0.747445369,0.770153292,2.849702409,8.210655201,25,6,31,0.73,0.769230769,0.29,0.307692308,0.93,1.0,0.56,0.222222222,-0.124804279,1.0,-0.510099205,0.5,0.150439337,1.0,-0.137696744,1.0,5.0,113.402382,1.800759365,10.94287518,pr
3,0.312037355,0.159042102,0.79547263,0.544189875,58.34571757,101.6933637,249,185,434,0.26,0.4375,0.17,0.5,0.55,1.0,0.49,1.0,-0.268432479,1.0,-0.353198436,0.5,-0.126994425,1.0,-0.164643821,1.0,5.0,215.105914,7.168688923,30.25636561,pr
4,0.139040236,0.306162429,0.143794841,0.329745536,0.612324857,0.0,0,2,2,0.28,0.86,0.2,0.52,0.36,0.433333333,0.22,0.533333333,-0.572850193,0.615384615,-2.269505501,0.769230769,2.563829261,1.0,1.054363095,0.846153846,0.0,98.46918786,0.0,3.154157624,pr
5,0.359846746,0.10784518,1.986815718,0.774868671,10.72998833,35.81959129,92,46,138,0.69,0.222222222,0.34,0.166666667,1.08,1.0,0.81,0.107142857,-0.291545394,0.705882353,-0.983128261,0.647058824,0.541286578,0.571428571,-0.099106418,0.285714286,0.0,162.7240074,2.029910603,37.37582967,pr
6,0.322308885,0.257786731,0.807148144,1.026182341,23.43908385,38.79231544,109,29,138,0.69,0.228782288,0.34,0.346863469,0.75,1.0,0.5,0.194148936,-0.536734995,0.909774436,-1.39220455,0.92481203,0.189308941,0.668449198,-0.395426663,1.0,5.0,138.383079,7.019770598,12.59053317,pr
7,0.346431051,0.206340346,1.039858965,0.855716404,18.58850365,38.88813389,109,29,138,0.62,0.098039216,0.5,0.176470588,0.9,0.076923077,0.83,0.030769231,-0.704601904,1.0,-1.275299823,0.695652174,1.662018324,0.714285714,1.150719239,0.619047619,0.0,150.7490756,4.958062482,24.22678715,pr
8,0.477762549,0.162077102,0.94541472,0.768348052,9.432687325,38.26633725,73,21,94,0.42,0.217391304,0.36,0.173913043,0.71,0.289473684,0.66,0.289473684,-0.740461806,0.222222222,-1.199687602,0.833333333,1.607334043,0.5,1.182819778,0.45,0.0,172.0841248,5.762731572,19.64865613,pr
9,0.38689896,0.148051099,1.000415253,0.938887829,11.68355644,31.92579745,72,28,100,0.58,0.171428571,0.37,0.342857143,0.97,1.0,0.81,0.163265306,-1.880652835,0.625,-2.698113585,0.8125,-0.25374495,0.882352941,-0.829316558,0.823529412,5.0,150.6056025,3.91270753,22.3753877,pr
10,0.207262369,0.213086364,1.983574921,1.009174785,51.06534871,56.48465573,201,138,339,0.76,0.373913043,0.52,0.295652174,0.81,1.0,0.6,0.163043478,-0.49703267,0.825396825,-3.099031334,1.0,3.061642501,1.0,0.748130759,0.846153846,0.0,113.5482676,8.952927439,9.495893472,pr
11,0.426639463,0.315651369,0.974727312,1.014535277,33.61316658,34.73475721,63,60,123,0.86,0.210526316,0.54,0.473684211,0.86,1.0,0.65,0.370967742,-0.513685896,1.0,-0.754036637,0.794117647,-0.047635323,1.0,-0.227501285,0.925925926,5.0,102.8039766,8.830530261,5.310271545,pr
12,0.461424426,0.322902888,1.054893813,1.126691317,14.09095461,18.50731022,34,20,54,0.69,0.196721311,0.52,0.229508197,0.81,0.142857143,0.67,0.142857143,-0.54325492,1.0,-0.98519429,0.68,0.527141275,1.0,0.089234208,0.774193548,0.0,111.040889,9.457294703,7.728045386,pr
13,0.270165485,0.20818576,0.850223952,0.96698314,4.351268247,9.483865505,33,7,40,0.76,0.111111111,0.33,1.0,0.9,0.733333333,0.65,0.266666667,-1.503810739,1.0,-4.176676396,0.714285714,1.298055893,0.714285714,-0.629626159,0.714285714,0.0,112.8314931,3.497131802,9.772429917,pr
14,0.446535172,0.347950299,1.019188131,1.703486546,33.09959713,40.50968841,75,48,123,0.74,0.088235294,0.6,0.176470588,0.84,0.194444444,0.74,0.194444444,-0.530886753,0.666666667,-0.715862275,1.0,0.055526899,0.846153846,-0.10221626,0.923076923,5.0,118.5252282,10.76025487,9.707788421,pr
15,0.329842953,0.579775837,0.701371673,2.099659529,6.811063441,1.80332922,7,7,14,0.73,0.311111111,0.62,0.377777778,0.87,0.116666667,0.78,0.116666667,-1.113546046,1.0,-1.6275388,0.681818182,0.916541869,1.0,0.458039733,0.428571429,5.0,-0.154684426,31.7347399,2.021622015,pr
16,0.389869257,0.596345178,0.827276989,1.056714598,8.076209615,2.698080132,5,9,14,0.74,0.178082192,0.4,0.315068493,0.95,1.0,0.66,0.202020202,-1.959885371,0.925925926,-4.251450578,1.0,0.490818825,0.9,-1.424235169,1.0,5.0,-7.562589651,30.17918776,2.029227859,pr
17,0.565871222,0.345503973,0.881100314,0.873980311,3.008373966,3.886337385,5,5,10,0.84,1.0,0.47,0.142857143,0.82,0.222222222,0.56,0.444444444,-2.769844104,0.25,-4.79415703,0.25,0.105181237,0.5,-2.318813986,0.5,0.0,117.5592684,16.10325658,5.959058992,pr
18,0.412753843,0.234965724,0.961130554,0.91286861,3.089055377,6.979016236,11,7,18,1.01,0.2,0.66,0.2,0.81,0.1,0.55,0.6,-1.480926661,0.333333333,-2.748238837,0.666666667,0.58044366,0.25,-0.520730108,0.75,0.0,177.7992172,14.80651253,12.31022967,pr
19,0.249069446,0.105899865,0.871195389,0.840923851,4.085226229,11.12022629,42,12,54,0.74,0.316666667,0.4,0.5,0.87,1.0,0.64,0.107843137,-0.149467646,1.0,-1.093034242,0.941176471,0.865713593,1.0,0.144620991,0.848484848,0.0,222.4980913,14.18814781,12.33785367,pr
20,0.228304395,0.102470122,0.962273273,0.877192982,26.10442436,59.10012096,231,102,333,0.87,0.302631579,0.54,0.302631579,0.99,1.0,0.73,0.321678322,-1.431831023,1.0,-2.3532846,0.389473684,-0.30790149,1.0,-0.762115645,1.0,5.0,20625.98459,25.93513501,26.78295193,pr
21,0.715354568,0.109850389,1.083356398,0.219700778,0.0,1.430709136,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6141827,0.0,29.61607539,pr
22,0.317906322,0.195510377,0.9955302,0.752446699,7.192847241,10.8334204,33,12,45,0.67,0.324324324,0.61,0.324324324,0.8,0.163265306,0.75,0.163265306,1.138601159,1.0,0.759142477,0.454545455,2.384004807,0.666666667,1.994895143,0.8,4.0,158.4281352,24.98434684,13.00347479,pr
23,0.271497275,0.363400332,0.961130554,2.266291901,13.10632165,8.038011193,15,26,41,0.86,0.0625,0.55,0.375,0.82,1.0,0.59,0.222222222,-1.345752294,0.571428571,-2.504981471,0.285714286,1.414538313,0.285714286,-0.104166363,1.0,0.0,-1.366209141,83.06910095,1.602433455,pr
24,0.287788468,0.21797115,0.755743317,0.90239217,9.241620981,17.55441706,51,18,69,0.77,0.5,0.48,0.583333333,0.7,0.133333333,0.41,0.066666667,-1.248649954,1.0,-2.980635372,0.2,1.637570023,0.2,-0.152128456,0.2,0.0,282.4713837,24.89072515,7.297890823,pr
25,0.348913592,0.504637691,0.798015018,1.846333992,8.724347314,3.867473029,10,9,19,0.64,0.272727273,0.57,0.227272727,0.8,0.111111111,0.75,0.066666667,-2.401028445,0.888888889,-2.730303313,0.277777778,-0.512446384,0.25,-0.821124881,0.3,0.0,2.862514313,72.14743834,1.294056449,pr
26,-0.018348421,0.136579314,-0.018348421,0.136579314,0.136579314,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26841372,0.0,29.75126681,pr
27,0.31850121,0.321769737,0.95699484,1.675690961,21.81837684,27.41661112,80,33,113,0.81,0.291666667,0.45,0.708333333,0.97,1.0,0.69,0.224137931,-0.109992779,0.928571429,-0.200729024,0.928571429,-0.002983124,0.555555556,-0.078828377,0.444444444,0.0,177.9505842,79.08400582,2.864910144,pr
28,0.131679432,0.692856411,0.131679432,0.692856411,0.692856411,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.14287177,0.0,3.084631039,pr
